"station_id","station_guid","easting","northing","longitude","latitude","catchment_area","station_name","river_name","date_opened","date_closed","wiski_id","river_level_tool_id","rfa_station_id","station_status","station_status_reason"
"9cee5ed4-ddd7-4903-8f74-00f52a78c05c","9cee5ed4-ddd7-4903-8f74-00f52a78c05c",365254,343039,-2.518975,52.983547,207.0,"Audlem","River Weaver","1953-10-01","","680301",5009.0,"68005","Active",""
"b23821f8-f8e5-4b3d-a821-70913abe37cf","b23821f8-f8e5-4b3d-a821-70913abe37cf",484462,434397,-0.719127,53.799018,"","Wholsea Grange","","1989-01-01","","F3402",9147.0,"26011","Active",""
"6f727c14-422c-4b7f-922d-b430d9aa07a2","6f727c14-422c-4b7f-922d-b430d9aa07a2",521705,189500,-0.244516,51.591209,29.0,"Colindale","Silk Stream","1973-12-01","","3829TH",7286.0,"39049","Active",""
"4485824a-191e-4504-b0e4-7fa2e2119fb6","4485824a-191e-4504-b0e4-7fa2e2119fb6",363239,99649,-2.522941,50.795228,12.4,"Sydling St Nicholas","Sydling Water","1969-12-01","","445410",3273.0,"44006","Active",""
"b3da16fa-2b4d-464a-a835-1028fce8b596","b3da16fa-2b4d-464a-a835-1028fce8b596",354689,513792,-2.701445,54.517372,"","Keld Intake Upstream","Keld Gill","2003-06-25","","761109","","","","Data Temporarily Suspended"
"6b80bd1c-6c19-4c26-875d-108bf8ef1a84","6b80bd1c-6c19-4c26-875d-108bf8ef1a84",443835,206735,-1.366311,51.757588,1600.0,"Farmoor","River Thames","1992-06-25","","1100TH",7047.0,"39129","Active",""
"6c6c174e-519f-4b02-9e3e-1737f2139417_445510","6c6c174e-519f-4b02-9e3e-1737f2139417",370848,90331,-2.414244,50.711872,"","Loudsmill","River Frome","1969-07-01","","445510",3277.0,"","Active",""
"6c6c174e-519f-4b02-9e3e-1737f2139417_445508","6c6c174e-519f-4b02-9e3e-1737f2139417",370810,90350,-2.414784,50.712041,"","Loudsmill Combined","River Frome","1969-07-01","","445508","","","Active",""
"6c6c174e-519f-4b02-9e3e-1737f2139417_445509","6c6c174e-519f-4b02-9e3e-1737f2139417",370821,90353,-2.414628,50.712068,"","Loudsmill Fishpass","River Frome","2008-08-08","","445509",3277.0,"","Active",""
"4747aea7-d2e7-41b4-b658-3242ae1c0eb8","4747aea7-d2e7-41b4-b658-3242ae1c0eb8",520905,297255,-0.217908,52.559698,"","Stanground Ultrasonic","King'S Dike","1992-06-01","","U33060","","","Active",""
"41d13879-a145-4975-83bc-1aa9878d2fb5","41d13879-a145-4975-83bc-1aa9878d2fb5",419062,485989,-1.708807,54.26919,510.0,"Kilgram Bridge","River Ure","1968-01-01","","F2206",8113.0,"27034","Active",""
"63b8893e-1cef-40bc-8755-c0c4fe3e69dd","63b8893e-1cef-40bc-8755-c0c4fe3e69dd",449165,326255,-1.271689,52.831572,1292.0,"Kegworth","River Soar","1978-12-01","","4074",2132.0,"28074","Active",""
"127b5107-82fb-4e10-a15d-77ac7766422d","127b5107-82fb-4e10-a15d-77ac7766422d",386837,583213,-2.208034,55.143073,343.8,"Rede Bridge","River Rede","1968-10-01","","023008",8167.0,"23008","Active",""
"42968a1f-9f4e-4162-896d-39acbb55e58b","42968a1f-9f4e-4162-896d-39acbb55e58b",300909,506051,-3.529373,54.440158,126.0,"Braystones","River Ehen","1976-02-01","","744312",5018.0,"74005","Active",""
"4bca53ad-b1fe-4f3e-bc5e-32858fcfc96d","4bca53ad-b1fe-4f3e-bc5e-32858fcfc96d",521894,162800,-0.25099,51.351208,"","Bourne Hall Ponds","Hogsmill River","2009-11-11","","3345TH","","","Active",""
"cdaa2757-51df-4d00-9d7a-440b0d88a937","cdaa2757-51df-4d00-9d7a-440b0d88a937",377537,100191,-2.320113,50.800836,"","Dewlish Woodsdown Cross","Devil'S Brook","1966-09-07","","444210","","","Active",""
"971d4ec4-1147-40dd-b03d-a616a02b7817","971d4ec4-1147-40dd-b03d-a616a02b7817",499970,146265,-0.570321,51.206851,110.0,"Bramley","Cranleigh Waters","1983-11-05","","3069TH",7235.0,"39122","Active",""
"4b146acd-5118-4e14-b23a-13405168a010","4b146acd-5118-4e14-b23a-13405168a010",292695,125832,-3.531302,51.021811,128.0,"Brushford","River Barle","1967-10-01","","SS92F008",3257.0,"45011","Active",""
"8f2b54dc-b425-4a05-a100-0ea06f4ba248","8f2b54dc-b425-4a05-a100-0ea06f4ba248",414229,415754,-1.786263,53.6381,97.4,"Huddersfield Queens Mill","River Holme","1979-11-16","","F1003",8165.0,"27065","Active",""
"ddd4ea67-eff3-47b8-972c-dc5239620add","ddd4ea67-eff3-47b8-972c-dc5239620add",489920,271250,-0.68182,52.331972,194.0,"Harrowden","River Ise","1943-12-01","","032004",6104.0,"32004","Active",""
"81d85b5e-36b9-4933-b6be-6c4d335ae556","81d85b5e-36b9-4933-b6be-6c4d335ae556",347654,440921,-2.797399,53.861841,84.5,"New Draught","New Draught","1967-03-15","","720214","","","Active",""
"588e6dc1-a77f-4961-9085-4b2617acb48e","588e6dc1-a77f-4961-9085-4b2617acb48e",264158,53219,-3.911239,50.363155,43.5,"Ermington","River Erme","1973-12-31","","SX65F051",3219.0,"46006","Active",""
"72f71a49-eabf-4155-91da-3b4342731f42","72f71a49-eabf-4155-91da-3b4342731f42",512660,373930,-0.312919,53.250424,"","Stainfield Beck","Stainfield Beck","1970-12-01","","030012",6062.0,"30012","Active",""
"0b2ad98d-d131-4233-9edc-f57be0b4ae31","0b2ad98d-d131-4233-9edc-f57be0b4ae31",351232,440550,-2.742941,53.858856,32.4,"A6 Brock Upstream","River Brock","1978-07-27","","720215",5022.0,"72007","Active",""
"3c58b9ab-5818-42af-8194-ed5fe9655142","3c58b9ab-5818-42af-8194-ed5fe9655142",234468,59634,-4.331163,50.413192,37.2,"Tideford","River Tiddy","1969-10-11","","SX35F068",3179.0,"47009","Active",""
"24cb6c6b-c859-4a45-b651-1468b010af70","24cb6c6b-c859-4a45-b651-1468b010af70",413215,317725,-1.805621,52.756966,1229.0,"Yoxall","River Trent","1969-01-06","","4012",2104.0,"28012","Active",""
"60914c18-1838-43e3-92c3-62765dfc7a99","60914c18-1838-43e3-92c3-62765dfc7a99",402013,202863,-1.97225,51.724478,84.0,"Cirencester","River Churn","1979-07-01","","0260TH",7015.0,"39073","Active",""
"53450672-fa32-414b-888a-fc5480aaf67d","53450672-fa32-414b-888a-fc5480aaf67d",389140,187032,-2.15812,51.582035,89.7,"Fosseway","Sherston Avon","1976-10-29","","530550",3035.0,"53023","Active",""
"18142c4b-ecf0-497c-ac4b-ccaef45aefc1","18142c4b-ecf0-497c-ac4b-ccaef45aefc1",361612,170380,-2.553576,51.431108,"","Brislington","Brislington Brook","2005-07-01","","530194_FW",3032.0,"","Active",""
"7337c648-a4bf-4f8b-80c2-2b17efdba8cd","7337c648-a4bf-4f8b-80c2-2b17efdba8cd",461239,454337,-1.067671,53.981457,"","Huntington","River Foss","1988-06-07","","F2470",8235.0,"27083","Active",""
"daa47a41-8f5a-4edb-9840-e0a13533cc64","daa47a41-8f5a-4edb-9840-e0a13533cc64",453040,425471,-1.197656,53.722944,"","Beal","River Aire","1976-10-01","","F1806",8017.0,"27003","Active",""
